N,n,t,va,prev
100,0,201,0.999951,5.91867e-08
100,0.102041,2000,0.999417,0.000383614
100,0.204082,2000,0.995308,0.00169184
100,0.306122,2000,0.983295,0.000953976
100,0.408163,2000,0.980848,0.00214029
100,0.510204,2000,0.982821,0.00220062
100,0.612245,2000,0.968348,0.00181886
100,0.714286,2000,0.976054,0.00290831
100,0.816327,2000,0.943118,0.0103888
100,0.918367,2000,0.952911,0.00447981
100,1.02041,2000,0.894806,0.000163464
100,1.12245,2000,0.902025,0.0064736
100,1.22449,2000,0.853867,0.048282
100,1.32653,2000,0.803439,0.02752
100,1.42857,2000,0.858459,0.00943088
100,1.53061,2000,0.874164,0.00679134
100,1.63265,2000,0.281638,0.0757482
100,1.73469,2000,0.794568,0.00235877
100,1.83673,2000,0.24146,0.0637239
100,1.93878,2000,0.432396,0.0409495
100,2.04082,2000,0.803959,0.0139091
100,2.14286,2000,0.729293,0.0523627
100,2.2449,2000,0.740763,0.102335
100,2.34694,2000,0.443397,0.0377917
100,2.44898,2000,0.341852,0.108447
100,2.55102,2000,0.21195,0.0865893
100,2.65306,2000,0.276266,0.0316351
100,2.7551,2000,0.275737,0.00551068
100,2.85714,2000,0.354791,0.0142424
100,2.95918,2000,0.316722,0.0858865
100,3.06122,2000,0.382929,0.0231612
100,3.16327,2000,0.422723,0.11563
100,3.26531,2000,0.313609,0.0301739
100,3.36735,2000,0.160814,0.0611501
100,3.46939,2000,0.099141,0.0370096
100,3.57143,2000,0.34903,0.154964
100,3.67347,2000,0.147832,0.0849352
100,3.77551,2000,0.341348,0.0305676
100,3.87755,2000,0.197911,0.0813751
100,3.97959,2000,0.0103895,0.163438
100,4.08163,2000,0.323474,0.107125
100,4.18367,2000,0.214246,0.0226496
100,4.28571,2000,0.166488,0.0767876
100,4.38776,2000,0.140632,0.0452361
100,4.4898,2000,0.0305949,0.0173249
100,4.59184,2000,0.164608,0.0543394
100,4.69388,2000,0.265705,0.128073
100,4.79592,2000,0.12535,0.0250395
100,4.89796,2000,0.0808349,0.0127501
100,5,2000,0.127316,0.0527841
1600,0,1238,0.982301,4.55452e-07
1600,0.102041,2000,0.991692,0.000273892
1600,0.204082,2000,0.990991,6.06173e-05
1600,0.306122,2000,0.955325,0.000832522
1600,0.408163,2000,0.957376,0.00117818
1600,0.510204,2000,0.87604,0.00282954
1600,0.612245,2000,0.768282,0.00934198
1600,0.714286,2000,0.532066,0.00207931
1600,0.816327,2000,0.766817,0.00330465
1600,0.918367,2000,0.548741,0.00545953
