n,t,va,prev
40,5000,0.995537,0.000689585
41,5000,0.996425,0.0038117
43,5000,0.995601,0.000692213
45,5000,0.997958,0.00167804
48,5000,0.993635,0.00316223
50,5000,0.995904,0.000925216
52,5000,0.997205,0.000712001
55,5000,0.996161,0.00110916
58,5000,0.99615,5.52135e-05
60,5000,0.996692,0.000246869
63,5000,0.996075,0.00387378
66,5000,0.996601,0.000480519
69,5000,0.995937,0.000302573
73,5000,0.995774,0.000953495
76,5000,0.99516,5.29677e-05
80,5000,0.997295,0.00258925
84,5000,0.99699,0.00130323
88,5000,0.996252,0.000418326
92,5000,0.99483,0.000278519
96,5000,0.994263,0.000818078
101,5000,0.99529,0.000463993
106,5000,0.993793,5.63876e-05
111,5000,0.995646,0.000257521
116,5000,0.994191,0.000562994
122,5000,0.995442,0.00014956
127,5000,0.995093,0.00118711
134,5000,0.995416,0.000255384
140,5000,0.99605,0.000527653
147,5000,0.995648,0.00128545
154,5000,0.99418,0.000628764
161,5000,0.994206,0.00137217
169,5000,0.994141,0.00062984
177,5000,0.995336,0.000312771
185,5000,0.995978,0.00189278
194,5000,0.995183,0.000259499
203,5000,0.994493,0.000243806
213,5000,0.995083,0.00102927
223,5000,0.994087,3.61631e-06
234,5000,0.994728,0.000845803
245,5000,0.994299,0.000189846
257,5000,0.995377,9.13481e-05
269,5000,0.991902,0.000470342
282,5000,0.995256,0.000160211
295,5000,0.990221,0.00109991
309,5000,0.994072,0.000767463
324,5000,0.994562,0.000382424
339,5000,0.994537,0.000649639
356,5000,0.989255,8.58156e-05
373,5000,0.994357,0.000695829
390,5000,0.991952,7.24104e-05
409,5000,0.993236,0.000986497
428,5000,0.992601,0.000296361
449,5000,0.988401,0.00133746
470,5000,0.980387,0.00148422
493,5000,0.984352,0.00014248
516,5000,0.985811,0.000139635
541,5000,0.931461,0.00243133
566,5000,0.900016,0.000697837
593,5000,0.937626,0.000535924
622,5000,0.935727,0.00239005
651,5000,0.922232,0.000613441
682,5000,0.91787,0.00183978
715,5000,0.963478,0.000497095
749,5000,0.945308,0.00243367
785,5000,0.914416,0.00524039
822,5000,0.971288,0.000588532
861,5000,0.946617,0.00241904
902,5000,0.962617,0.0013799
945,5000,0.949335,0.00169584
990,5000,0.904878,0.00321914
1038,5000,0.91828,0.00109538
1087,5000,0.940092,0.003158
1139,5000,0.935166,6.7526e-05
1193,5000,0.955822,0.000943831
1250,5000,0.965634,0.000994367
1309,5000,0.953416,0.000147248
1372,5000,0.954496,0.000690925
1437,5000,0.97059,3.15866e-05
1505,5000,0.956788,0.00104196
1577,5000,0.938674,0.00159559
1652,5000,0.951547,0.000963103
1731,5000,0.929824,0.00133228
1813,5000,0.927906,0.00229712
1900,5000,0.962664,0.000578961
1990,5000,0.926258,0.000631219
2085,5000,0.964231,0.00074126
2184,5000,0.93954,0.00176744
2288,5000,0.969239,0.000636757
2397,5000,0.941798,0.000206036
2512,5000,0.962395,0.000209425
2631,5000,0.969563,0.0002002
2757,5000,0.969795,9.0638e-05
2888,5000,0.948999,0.00108163
3025,5000,0.963648,0.000843316
3169,5000,0.963904,0.000780244
3320,2732,0.969327,2.14068e-07
3478,5000,0.959425,0.000185032
3644,5000,0.948559,0.000366555
3818,5000,0.956559,0.00123317
4000,5000,0.95352,0.000594575
