n,t,va,prev
40,5000,0.756674,0.008377
41,5000,0.866347,0.0151482
43,5000,0.247835,0.0155486
45,5000,0.329062,0.0887247
48,5000,0.0792831,0.0263152
50,5000,0.670509,0.0556001
52,5000,0.718194,0.00465975
55,5000,0.770212,0.112713
58,5000,0.6639,0.118816
60,5000,0.709164,0.0244086
63,5000,0.578298,0.0843195
66,5000,0.453635,0.0142531
69,5000,0.647892,0.0465997
73,5000,0.0781525,0.0779392
76,5000,0.377137,0.17386
80,5000,0.474736,0.026662
84,5000,0.570872,0.0359533
88,5000,0.0654717,0.0287304
92,5000,0.229411,0.00757142
96,5000,0.416555,0.0773773
101,5000,0.376503,0.0320723
106,5000,0.327239,0.156387
111,5000,0.401434,0.116949
116,5000,0.212495,0.00153271
122,5000,0.267887,0.00195598
127,5000,0.340216,0.0963882
134,5000,0.243557,0.0196071
140,5000,0.195135,0.0957646
147,5000,0.297772,0.114621
154,5000,0.453196,0.0522215
161,5000,0.0662615,0.0397414
169,5000,0.35342,0.0222613
177,5000,0.525296,0.0164332
185,5000,0.239798,0.0336782
194,5000,0.348433,0.0354449
203,5000,0.380665,0.0608168
213,5000,0.188636,0.0241373
223,5000,0.379212,0.0446676
234,5000,0.408429,0.0308541
245,5000,0.245412,0.0266382
257,5000,0.229588,0.0486521
269,5000,0.408656,0.0170786
282,5000,0.120908,0.0210939
295,5000,0.221206,0.0408433
309,5000,0.0932547,0.0300427
324,5000,0.151338,0.040108
339,5000,0.0494615,0.0291135
356,5000,0.0422783,0.0314333
373,5000,0.129626,0.0474909
390,5000,0.235996,0.0501561
409,5000,0.143194,0.00555171
428,5000,0.0691936,0.0429019
449,5000,0.270039,0.00141698
470,5000,0.127138,0.0520251
493,5000,0.178215,0.074904
516,5000,0.0815254,0.0290663
541,5000,0.200596,0.0436391
566,5000,0.16774,0.00564514
593,5000,0.0920165,0.0147293
622,5000,0.0468434,0.022157
651,5000,0.188493,0.031777
682,5000,0.0916073,0.0109161
715,5000,0.220826,0.000821496
749,5000,0.0886411,0.0109222
785,5000,0.206436,0.0297449
822,5000,0.118595,0.0286482
861,5000,0.102927,0.0250798
902,5000,0.0528943,0.00803173
945,5000,0.0220541,0.0335942
990,5000,0.0984418,0.0126251
1038,5000,0.0274428,0.0352452
1087,5000,0.104525,0.0245535
1139,5000,0.0545806,0.0155698
1193,5000,0.0240394,0.0182911
1250,5000,0.0203728,0.00259673
1309,5000,0.0434646,0.00586208
1372,5000,0.105184,0.0188899
1437,5000,0.0511338,0.0272189
1505,5000,0.104996,0.00688999
1577,5000,0.0328571,0.00120662
1652,5000,0.0344285,0.00889395
1731,5000,0.095222,0.0209571
1813,5000,0.0705009,0.0312023
1900,5000,0.114634,0.0239676
1990,5000,0.125734,0.0234606
2085,5000,0.0120551,0.0057572
2184,5000,0.0159388,0.00201199
2288,5000,0.127097,0.00821807
2397,5000,0.0468513,0.0221023
2512,5000,0.0344141,0.0130252
2631,5000,0.0648731,0.000169209
2757,5000,0.044259,0.0164504
2888,5000,0.0714071,0.0140298
3025,5000,0.0634738,0.00547207
3169,5000,0.0510338,0.00681897
3320,5000,0.0939884,0.0106435
3478,5000,0.031246,0.0251825
3644,5000,0.0604241,0.00269424
3818,5000,0.051039,0.000360975
4000,5000,0.0112939,0.00160815
