N,L,noise,average_va,last_va
100,5,0,1,1
100,5,0.2,0.998074,0.998021
100,5,0.4,0.992284,0.988578
100,5,0.6,0.982629,0.980317
100,5,0.8,0.969605,0.969591
100,5,1,0.951707,0.949807
100,5,1.2,0.930295,0.946729
100,5,5,0.121238,0.215643
100,5,4.9,0.131565,0.182378
100,5,4.8,0.140501,0.170383
100,5,1.4,0.907641,0.910742
100,5,4.7,0.152416,0.0426973
100,5,2,0.816226,0.841291
100,5,4.6,0.169733,0.112079
100,5,1.8,0.849773,0.876335
100,5,4.5,0.18905,0.183869
100,5,1.6,0.880013,0.875785
100,5,2.4,0.743791,0.762455
100,5,2.2,0.779198,0.782345
100,5,2.6,0.699441,0.715248
100,5,2.8,0.659199,0.743268
100,5,4.4,0.218661,0.220308
100,5,4.3,0.238234,0.251562
100,5,4.2,0.268646,0.158852
100,5,3,0.609241,0.595181
100,5,4,0.33954,0.315534
100,5,4.1,0.301395,0.429738
100,5,3.6,0.457765,0.53449
100,5,3.2,0.563655,0.556966
100,5,3.4,0.515205,0.43814
100,5,3.8,0.397847,0.430084
100,5,3.9,0.368638,0.409058
100,5,0.1,0.999517,0.999461
100,5,0.3,0.995601,0.995168
100,5,0.5,0.987882,0.989389
100,5,0.7,0.97646,0.978964
100,5,0.9,0.961344,0.967431
100,5,1.1,0.942557,0.954592
100,5,1.3,0.92008,0.913359
100,5,2.1,0.798439,0.830072
100,5,1.9,0.832688,0.828482
100,5,2.3,0.762176,0.751127
100,5,1.5,0.894334,0.899931
100,5,2.5,0.721466,0.685964
100,5,1.7,0.866152,0.85306
100,5,2.7,0.679059,0.549364
100,5,3.7,0.427618,0.410066
100,5,2.9,0.636065,0.628358
100,5,3.1,0.589034,0.602004
100,5,3.3,0.534514,0.555546
100,5,3.5,0.486044,0.583648
10000,50,5,0.0122806,0.0129289
10000,50,4.8,0.0138022,0.0153315
10000,50,4.9,0.0131821,0.0250136
10000,50,4.6,0.0174521,0.0197642
10000,50,4.7,0.0155708,0.0111572
10000,50,4.5,0.0201451,0.0124305
10000,50,4.4,0.0233179,0.00219822
10000,50,4.3,0.0285081,0.0175292
10000,50,4.2,0.0344896,0.0287684
10000,50,4.1,0.0435383,0.0501071
10000,50,4,0.0502619,0.0282788
10000,50,3.8,0.0828885,0.0773182
10000,50,3.9,0.0661669,0.0568611
10000,50,3.6,0.108805,0.186364
10000,50,3.4,0.174221,0.0936754
10000,50,3.2,0.213131,0.253603
10000,50,3,0.341524,0.229699
10000,50,2.2,0.643044,0.553167
10000,50,1.8,0.687404,0.770465
10000,50,2.8,0.346182,0.50624
10000,50,1.6,0.797549,0.800989
10000,50,2.6,0.479964,0.555027
10000,50,2.4,0.421412,0.5157
10000,50,2,0.652957,0.681498
10000,50,1.2,0.886609,0.885491
10000,50,1.4,0.846629,0.838882
10000,50,1,0.916113,0.931045
10000,50,0.8,0.944936,0.945259
10000,50,0.6,0.971664,0.973801
10000,50,0.4,0.985755,0.988248
10000,50,0.2,0.99577,0.996849
10000,50,3.7,0.10369,0.117561
10000,50,3.5,0.155318,0.0935038
10000,50,3.3,0.165952,0.177544
10000,50,3.1,0.241138,0.378281
10000,50,2.3,0.601187,0.658004
10000,50,2.9,0.392912,0.387782
10000,50,1.7,0.773254,0.792465
10000,50,2.7,0.435395,0.312331
10000,50,2.1,0.668422,0.697094
10000,50,1.5,0.829934,0.822198
10000,50,2.5,0.496139,0.504041
10000,50,1.3,0.866054,0.86534
10000,50,1.9,0.70736,0.701571
10000,50,1.1,0.88933,0.916501
10000,50,0.9,0.935735,0.934081
10000,50,0.7,0.954151,0.950328
10000,50,0.5,0.978725,0.966528
10000,50,0,1,1
10000,50,0.3,0.992048,0.992059
10000,50,0.1,0.999171,0.998975
40,3.1,0,1,1
40,3.1,0.4,0.992962,0.992503
40,3.1,0.2,0.998228,0.998306
40,3.1,0.8,0.972303,0.973847
40,3.1,0.6,0.984275,0.988969
40,3.1,1.2,0.937964,0.938934
40,3.1,1,0.956489,0.952665
40,3.1,1.4,0.916291,0.89501
40,3.1,1.6,0.891047,0.876244
40,3.1,2.4,0.765309,0.760438
40,3.1,3.2,0.606952,0.625089
40,3.1,1.8,0.863006,0.885931
40,3.1,2,0.832717,0.82863
40,3.1,2.2,0.800805,0.834067
40,3.1,3.4,0.561402,0.43556
40,3.1,2.6,0.726914,0.700409
40,3.1,2.8,0.687,0.774798
40,3.1,3.8,0.464316,0.491597
40,3.1,3.6,0.514899,0.53916
40,3.1,4.1,0.386337,0.419694
40,3.1,4.9,0.207261,0.207998
40,3.1,4.6,0.259057,0.431838
40,3.1,3,0.647236,0.674724
40,3.1,4,0.416951,0.492646
40,3.1,4.2,0.359246,0.101537
40,3.1,4.8,0.223033,0.348893
40,3.1,3.9,0.44467,0.546737
40,3.1,4.5,0.282008,0.362061
40,3.1,4.7,0.242966,0.229082
40,3.1,4.4,0.305759,0.36675
40,3.1,5,0.193389,0.140342
40,3.1,4.3,0.336694,0.202797
40,3.1,0.1,0.999558,0.999543
40,3.1,0.3,0.996085,0.995515
40,3.1,0.5,0.989037,0.985333
40,3.1,0.9,0.964764,0.972258
40,3.1,1.1,0.948001,0.952063
40,3.1,0.7,0.978552,0.978319
40,3.1,1.3,0.927151,0.929061
40,3.1,1.5,0.903655,0.890849
40,3.1,1.9,0.84887,0.867632
40,3.1,1.7,0.877499,0.885252
40,3.1,2.1,0.817377,0.803947
40,3.1,2.3,0.783421,0.739589
40,3.1,2.7,0.707447,0.706494
40,3.1,3.3,0.582552,0.491575
40,3.1,3.1,0.626127,0.485906
40,3.1,2.9,0.668564,0.603468
40,3.1,3.7,0.490179,0.453352
40,3.1,2.5,0.746881,0.718095
40,3.1,3.5,0.536957,0.322687
400,10,5,0.0604746,0.103452
400,10,4.9,0.0653856,0.0153205
400,10,4.6,0.08819,0.00996323
400,10,4.8,0.0702949,0.0135685
400,10,4.7,0.0769034,0.0667534
400,10,4.5,0.0993942,0.0632854
400,10,4.4,0.111568,0.18567
400,10,4.3,0.12846,0.19985
400,10,4.2,0.157887,0.153918
400,10,0.4,0.990863,0.989421
400,10,4.1,0.188143,0.116899
400,10,0.6,0.980394,0.979504
400,10,2,0.787435,0.770992
400,10,4,0.213201,0.301649
400,10,3.9,0.240601,0.323117
400,10,1.4,0.89447,0.873224
400,10,0.8,0.964025,0.965297
400,10,2.2,0.74644,0.775302
400,10,1,0.945188,0.934042
400,10,2.8,0.601124,0.614299
400,10,3.8,0.281135,0.274599
400,10,2.4,0.702451,0.717893
400,10,3.2,0.485935,0.494851
400,10,3.6,0.358864,0.25374
400,10,1.6,0.860976,0.870423
400,10,3.4,0.417777,0.483159
400,10,3,0.534382,0.63616
400,10,1.2,0.919477,0.89463
400,10,2.6,0.651784,0.677839
400,10,1.8,0.823925,0.793868
400,10,0.2,0.997831,0.997782
400,10,0,1,1
