N,L,noise,average_va,last_va
0,20,2.5,-nan,-nan
40,20,2.5,0.144189,0.0577265
80,20,2.5,0.113769,0.101424
120,20,2.5,0.137017,0.130868
160,20,2.5,0.169745,0.100224
200,20,2.5,0.172892,0.108057
240,20,2.5,0.225441,0.258462
280,20,2.5,0.236613,0.105136
320,20,2.5,0.241678,0.20832
360,20,2.5,0.265961,0.151742
400,20,2.5,0.280671,0.346451
440,20,2.5,0.267712,0.26535
480,20,2.5,0.296996,0.320779
520,20,2.5,0.334887,0.296386
560,20,2.5,0.356386,0.209524
600,20,2.5,0.329899,0.284532
640,20,2.5,0.396537,0.21309
680,20,2.5,0.365309,0.539608
720,20,2.5,0.437775,0.476121
760,20,2.5,0.43014,0.224185
800,20,2.5,0.426102,0.275678
960,20,2.5,0.47321,0.165912
1120,20,2.5,0.545559,0.102312
1280,20,2.5,0.574669,0.448906
1440,20,2.5,0.584615,0.62631
1600,20,2.5,0.605549,0.659649
1760,20,2.5,0.631298,0.550893
1920,20,2.5,0.634255,0.670086
2080,20,2.5,0.665808,0.67345
2240,20,2.5,0.669393,0.697957
2400,20,2.5,0.678493,0.715058
2560,20,2.5,0.680388,0.689267
2720,20,2.5,0.693686,0.685547
2880,20,2.5,0.697899,0.68798
3040,20,2.5,0.697326,0.704943
3200,20,2.5,0.702638,0.704076
3360,20,2.5,0.705093,0.698466
3520,20,2.5,0.709473,0.715991
3680,20,2.5,0.711915,0.724978
3840,20,2.5,0.715927,0.687001
