N,L,noise,average_va,last_va
100,5,0.2,0.998076,0.997733
100,5,1,0.952619,0.954291
100,5,0.4,0.992179,0.993647
100,5,0,1,1
100,5,0.8,0.969965,0.966184
100,5,5,0.1227,0.0832648
100,5,1.4,0.908045,0.909531
100,5,1.2,0.933127,0.933464
100,5,1.6,0.877568,0.834988
100,5,4.8,0.143188,0.281522
100,5,4.7,0.151434,0.104456
100,5,4.5,0.203996,0.112111
100,5,1.8,0.849169,0.859056
100,5,4.4,0.220045,0.0796319
100,5,4.9,0.130451,0.161271
100,5,4.6,0.178689,0.236687
100,5,3.4,0.513052,0.546445
100,5,2.4,0.734861,0.75431
100,5,3.9,0.373043,0.340681
100,5,2.6,0.703881,0.729652
100,5,2.8,0.656521,0.626351
100,5,4.3,0.251815,0.242993
100,5,2.2,0.779213,0.818409
100,5,3.8,0.354296,0.299866
100,5,4.2,0.266613,0.386235
100,5,3.6,0.459103,0.508239
100,5,3.2,0.57103,0.579895
100,5,3,0.61438,0.64977
100,5,4.1,0.31466,0.276973
100,5,0.6,0.982125,0.982615
100,5,2,0.817063,0.858421
100,5,4,0.329022,0.376719
100,5,0.1,0.999509,0.9996
100,5,0.3,0.995797,0.996448
100,5,0.5,0.988166,0.987133
100,5,1.1,0.94277,0.946798
100,5,0.9,0.960887,0.963603
100,5,3.5,0.478366,0.538669
100,5,1.3,0.919162,0.925007
100,5,1.5,0.897545,0.874178
100,5,3.1,0.583469,0.701887
100,5,2.5,0.718071,0.741186
100,5,2.7,0.678189,0.718706
100,5,1.7,0.867536,0.872108
100,5,2.1,0.799638,0.795792
100,5,2.3,0.762522,0.784677
100,5,1.9,0.833404,0.819836
100,5,0.7,0.976497,0.977474
100,5,2.9,0.635402,0.691741
100,5,3.3,0.539443,0.627081
100,5,3.7,0.419774,0.553583
10000,50,4.9,0.0135215,0.0166862
10000,50,4.8,0.0137605,0.0141112
10000,50,5,0.0123006,0.0161961
10000,50,4.6,0.0158409,0.0295578
10000,50,4.5,0.0210862,0.0257362
10000,50,4.7,0.0148445,0.0205561
10000,50,4.3,0.0269606,0.0436374
10000,50,4.4,0.0269726,0.00253645
10000,50,4.2,0.0262532,0.0213971
10000,50,4.1,0.0377484,0.0280994
10000,50,4,0.0664742,0.0333127
10000,50,3.9,0.0720301,0.0754883
10000,50,3.8,0.0814879,0.0851669
10000,50,3.6,0.0866798,0.125732
10000,50,3.4,0.151323,0.191322
10000,50,3.2,0.248285,0.251979
10000,50,3,0.294242,0.393475
10000,50,2.4,0.4628,0.538867
10000,50,2.8,0.417314,0.417255
10000,50,2,0.712876,0.690943
10000,50,2.6,0.499715,0.520737
10000,50,1.6,0.799956,0.768634
10000,50,1.8,0.742713,0.737324
10000,50,2.2,0.593239,0.659815
10000,50,1.4,0.861957,0.854966
10000,50,1.2,0.842149,0.898007
10000,50,0.8,0.955608,0.953919
10000,50,1,0.913276,0.917104
10000,50,0.4,0.987911,0.987059
10000,50,3.7,0.0956995,0.119286
10000,50,0.6,0.973637,0.966726
10000,50,3.5,0.140526,0.229417
10000,50,3.3,0.260768,0.330494
10000,50,3.1,0.241608,0.260236
10000,50,2.9,0.457043,0.411043
10000,50,2.5,0.573416,0.618189
10000,50,1.7,0.801187,0.768344
10000,50,1.9,0.73935,0.683041
10000,50,2.7,0.432328,0.402481
10000,50,2.1,0.638411,0.697388
10000,50,2.3,0.58369,0.639573
10000,50,1.3,0.834177,0.887799
10000,50,0,0.999855,0.999855
10000,50,1.1,0.911151,0.916424
